X,Y,Z,LAI
-3.77976190363306,40.5982142860137,0,1.10000002
-3.77678571315725,40.5982142860137,0,1.13333333
-3.77380952268145,40.5982142860137,0,1.23333335
-3.77083333220564,40.5982142860137,0,1.39999998
-3.76785714172983,40.5982142860137,0,1.36666667
-3.76488095125403,40.5982142860137,0,1.50000000
-3.69047618935886,40.5982142860137,0,1.10000002
-3.68749999888306,40.5982142860137,0,1.10000002
-3.68452380840725,40.5982142860137,0,1.23333335
-3.68154761793144,40.5982142860137,0,1.43333328
-3.67857142745564,40.5982142860137,0,1.39999998
-3.67559523697983,40.5982142860137,0,1.43333328
-3.67261904650403,40.5982142860137,0,1.50000000
-3.66964285602822,40.5982142860137,0,1.43333328
-3.66666666555241,40.5982142860137,0,1.46666670
-3.66369047507661,40.5982142860137,0,1.53333330
-3.6607142846008,40.5982142860137,0,1.53333330
-3.65773809412499,40.5982142860137,0,1.50000000
-3.65476190364919,40.5982142860137,0,1.39999998
-3.65178571317338,40.5982142860137,0,1.39999998
-3.64880952269757,40.5982142860137,0,1.43333328
-3.64583333222177,40.5982142860137,0,1.56666672
-3.64285714174596,40.5982142860137,0,1.70000005
-3.63988095127015,40.5982142860137,0,1.73333335
-3.63690476079435,40.5982142860137,0,1.66666663
-3.63392857031854,40.5982142860137,0,1.56666672
-3.63095237984273,40.5982142860137,0,1.50000000
-3.62797618936693,40.5982142860137,0,1.70000005
-3.62499999889112,40.5982142860137,0,1.79999995
-3.62202380841531,40.5982142860137,0,1.83333337
-3.61904761793951,40.5982142860137,0,1.79999995
-3.6160714274637,40.5982142860137,0,1.66666663
-3.61309523698789,40.5982142860137,0,1.53333330
-3.61011904651209,40.5982142860137,0,1.43333328
-3.81249999886693,40.5952380955318,0,1.66666663
-3.80952380839113,40.5952380955318,0,1.50000000
-3.80654761791532,40.5952380955318,0,1.20000005
-3.80357142743951,40.5952380955318,0,0.86666667
-3.80059523696371,40.5952380955318,0,0.63333333
-3.7976190464879,40.5952380955318,0,0.80000001
-3.79464285601209,40.5952380955318,0,0.93333334
-3.79166666553629,40.5952380955318,0,1.10000002
-3.78869047506048,40.5952380955318,0,1.16666663
-3.78571428458467,40.5952380955318,0,1.16666663
-3.78273809410887,40.5952380955318,0,1.16666663
-3.77976190363306,40.5952380955318,0,1.23333335
-3.77678571315725,40.5952380955318,0,1.29999995
-3.77380952268145,40.5952380955318,0,1.33333337
